selection_index	primary_class_id	primary_class	class_ids	classes	source_kind	source_partition	source_image	dataset_image	calibration_hardlink	label_path	box_count	short_side_640	tilt_deg	size_quartile	angle_bin
10	0	blue	0	blue	ccpd2019	ccpd_base	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\CCPD2019\ccpd_base\0205196360153-95_81-375&400_603&498-603&494_383&470_374&396_594&420-0_0_26_2_31_24_27-127-65.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\images\train\ccpd2019_ccpd_base_0205196360153-95_81-375&400_603&498-603&494_383&470_374&396_594&420-0_0_26_2_31_24_27-127-65.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\2_Model_Conversion_PC_Simulation\yolov8_obb\model\obb_quant_dataset_800\quant_0010.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\labels\train\ccpd2019_ccpd_base_0205196360153-95_81-375&400_603&498-603&494_383&470_374&396_594&420-0_0_26_2_31_24_27-127-65.txt	1	41.128369	6.225923	2	5-15
11	0	blue	0	blue	ccpd2019	ccpd_base	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\CCPD2019\ccpd_base\0209051724138-98_75-67&461_288&573-276&570_75&534_72&454_273&490-0_0_5_7_31_27_32-81-55.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\images\train\ccpd2019_ccpd_base_0209051724138-98_75-67&461_288&573-276&570_75&534_72&454_273&490-0_0_5_7_31_27_32-81-55.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\2_Model_Conversion_PC_Simulation\yolov8_obb\model\obb_quant_dataset_800\quant_0011.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\labels\train\ccpd2019_ccpd_base_0209051724138-98_75-67&461_288&573-276&570_75&534_72&454_273&490-0_0_5_7_31_27_32-81-55.txt	1	44.168614	10.154420	2	5-15
12	0	blue	0	blue	ccpd2019	ccpd_base	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\CCPD2019\ccpd_base\0224137931034-106_66-320&474_518&595-533&613_327&537_306&453_512&529-0_0_18_10_31_32_25-54-8.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\images\train\ccpd2019_ccpd_base_0224137931034-106_66-320&474_518&595-533&613_327&537_306&453_512&529-0_0_18_10_31_32_25-54-8.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\2_Model_Conversion_PC_Simulation\yolov8_obb\model\obb_quant_dataset_800\quant_0012.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\labels\train\ccpd2019_ccpd_base_0224137931034-106_66-320&474_518&595-533&613_327&537_306&453_512&529-0_0_18_10_31_32_25-54-8.txt	1	47.771315	20.250572	2	15-30
13	0	blue	0	blue	ccpd2019	ccpd_base	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\CCPD2019\ccpd_base\0239583333333-117_59-202&457_363&625-363&623_206&524_205&438_362&537-0_0_32_24_26_32_24-102-25.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\images\train\ccpd2019_ccpd_base_0239583333333-117_59-202&457_363&625-363&623_206&524_205&438_362&537-0_0_32_24_26_32_24-102-25.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\2_Model_Conversion_PC_Simulation\yolov8_obb\model\obb_quant_dataset_800\quant_0013.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\labels\train\ccpd2019_ccpd_base_0239583333333-117_59-202&457_363&625-363&623_206&524_205&438_362&537-0_0_32_24_26_32_24-102-25.txt	1	47.451528	32.234434	2	30-90
14	0	blue	0	blue	ccpd2019	ccpd_base	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\CCPD2019\ccpd_base\0240948275862-115_66-308&517_495&676-475&682_303&578_321&502_493&606-0_12_8_22_30_26_32-107-13.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\images\train\ccpd2019_ccpd_base_0240948275862-115_66-308&517_495&676-475&682_303&578_321&502_493&606-0_12_8_22_30_26_32-107-13.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\2_Model_Conversion_PC_Simulation\yolov8_obb\model\obb_quant_dataset_800\quant_0014.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\labels\train\ccpd2019_ccpd_base_0240948275862-115_66-308&517_495&676-475&682_303&578_321&502_493&606-0_12_8_22_30_26_32-107-13.txt	1	43.090882	31.159244	2	30-90
15	0	blue	0	blue	ccpd2019	ccpd_base	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\CCPD2019\ccpd_base\0251975574712-104_71-242&442_467&577-462&587_232&511_225&424_455&500-0_0_10_25_0_24_25-113-34.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\images\train\ccpd2019_ccpd_base_0251975574712-104_71-242&442_467&577-462&587_232&511_225&424_455&500-0_0_10_25_0_24_25-113-34.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\2_Model_Conversion_PC_Simulation\yolov8_obb\model\obb_quant_dataset_800\quant_0015.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\labels\train\ccpd2019_ccpd_base_0251975574712-104_71-242&442_467&577-462&587_232&511_225&424_455&500-0_0_10_25_0_24_25-113-34.txt	1	48.155113	18.285259	2	15-30
16	0	blue	0	blue	ccpd2019	ccpd_base	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\CCPD2019\ccpd_base\0258620689655-90_87-205&540_489&646-489&638_213&640_211&545_487&543-0_0_9_27_11_26_32-105-177.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\images\train\ccpd2019_ccpd_base_0258620689655-90_87-205&540_489&646-489&638_213&640_211&545_487&543-0_0_9_27_11_26_32-105-177.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\2_Model_Conversion_PC_Simulation\yolov8_obb\model\obb_quant_dataset_800\quant_0016.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\labels\train\ccpd2019_ccpd_base_0258620689655-90_87-205&540_489&646-489&638_213&640_211&545_487&543-0_0_9_27_11_26_32-105-177.txt	1	52.425048	0.415146	3	0-5
17	0	blue	0	blue	ccpd2019	ccpd_base	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\CCPD2019\ccpd_base\0263673371648-89_90-161&496_467&587-461&585_178&588_161&501_444&498-0_0_14_33_26_33_26-172-12.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\images\train\ccpd2019_ccpd_base_0263673371648-89_90-161&496_467&587-461&585_178&588_161&501_444&498-0_0_14_33_26_33_26-172-12.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\2_Model_Conversion_PC_Simulation\yolov8_obb\model\obb_quant_dataset_800\quant_0017.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\labels\train\ccpd2019_ccpd_base_0263673371648-89_90-161&496_467&587-461&585_178&588_161&501_444&498-0_0_14_33_26_33_26-172-12.txt	1	48.907777	0.607539	2	0-5
18	0	blue	0	blue	ccpd2019	ccpd_base	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\CCPD2019\ccpd_base\0274461206897-90_90-174&412_466&503-465&496_186&505_190&413_469&404-0_0_15_8_30_26_28-111-43.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\images\train\ccpd2019_ccpd_base_0274461206897-90_90-174&412_466&503-465&496_186&505_190&413_469&404-0_0_15_8_30_26_28-111-43.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\2_Model_Conversion_PC_Simulation\yolov8_obb\model\obb_quant_dataset_800\quant_0018.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\labels\train\ccpd2019_ccpd_base_0274461206897-90_90-174&412_466&503-465&496_186&505_190&413_469&404-0_0_15_8_30_26_28-111-43.txt	1	50.806361	1.847701	3	0-5
19	0	blue	0	blue	ccpd2019	ccpd_base	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\CCPD2019\ccpd_base\0296695402298-97_71-289&388_543&528-565&536_293&500_262&383_534&419-0_0_10_19_25_30_24-136-67.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\images\train\ccpd2019_ccpd_base_0296695402298-97_71-289&388_543&528-565&536_293&500_262&383_534&419-0_0_10_19_25_30_24-136-67.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\2_Model_Conversion_PC_Simulation\yolov8_obb\model\obb_quant_dataset_800\quant_0019.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\labels\train\ccpd2019_ccpd_base_0296695402298-97_71-289&388_543&528-565&536_293&500_262&383_534&419-0_0_10_19_25_30_24-136-67.txt	1	66.779037	7.539565	3	5-15
20	0	blue	0	blue	ccpd2019	ccpd_base	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\CCPD2019\ccpd_base\0311961206897-107_71-254&445_456&583-455&592_255&515_251&432_451&509-0_0_28_28_29_2_32-121-31.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\images\train\ccpd2019_ccpd_base_0311961206897-107_71-254&445_456&583-455&592_255&515_251&432_451&509-0_0_28_28_29_2_32-121-31.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\2_Model_Conversion_PC_Simulation\yolov8_obb\model\obb_quant_dataset_800\quant_0020.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\labels\train\ccpd2019_ccpd_base_0311961206897-107_71-254&445_456&583-455&592_255&515_251&432_451&509-0_0_28_28_29_2_32-121-31.txt	1	45.846417	21.056600	2	15-30
21	0	blue	0	blue	ccpd2019	ccpd_base	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\CCPD2019\ccpd_base\0389846743295-121_57-282&413_492&621-488&632_285&495_290&396_493&533-0_0_30_29_7_31_29-41-23.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\images\train\ccpd2019_ccpd_base_0389846743295-121_57-282&413_492&621-488&632_285&495_290&396_493&533-0_0_30_29_7_31_29-41-23.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\2_Model_Conversion_PC_Simulation\yolov8_obb\model\obb_quant_dataset_800\quant_0021.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\labels\train\ccpd2019_ccpd_base_0389846743295-121_57-282&413_492&621-488&632_285&495_290&396_493&533-0_0_30_29_7_31_29-41-23.txt	1	54.690409	34.014574	3	30-90
22	0	blue	0	blue	ccpd2019	ccpd_base	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\CCPD2019\ccpd_base\0415229885057-87_94-106&496_423&629-430&600_128&635_143&517_445&482-0_0_3_26_29_26_11-57-56.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\images\train\ccpd2019_ccpd_base_0415229885057-87_94-106&496_423&629-430&600_128&635_143&517_445&482-0_0_3_26_29_26_11-57-56.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\2_Model_Conversion_PC_Simulation\yolov8_obb\model\obb_quant_dataset_800\quant_0022.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\labels\train\ccpd2019_ccpd_base_0415229885057-87_94-106&496_423&629-430&600_128&635_143&517_445&482-0_0_3_26_29_26_11-57-56.txt	1	65.627244	6.610866	3	5-15
23	0	blue	0	blue	ccpd2019	ccpd_base	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\CCPD2019\ccpd_base\041570881226-110_71-98&394_330&571-328&588_91&482_90&388_327&494-0_0_20_26_21_30_25-95-38.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\images\train\ccpd2019_ccpd_base_041570881226-110_71-98&394_330&571-328&588_91&482_90&388_327&494-0_0_20_26_21_30_25-95-38.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\2_Model_Conversion_PC_Simulation\yolov8_obb\model\obb_quant_dataset_800\quant_0023.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\labels\train\ccpd2019_ccpd_base_041570881226-110_71-98&394_330&571-328&588_91&482_90&388_327&494-0_0_20_26_21_30_25-95-38.txt	1	51.864695	24.097073	3	15-30
24	0	blue	0	blue	ccpd2019	ccpd_base	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\CCPD2019\ccpd_base\0428256704981-103_72-90&288_399&454-406&453_115&384_99&285_390&354-0_7_23_27_24_30_10-75-52.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\images\train\ccpd2019_ccpd_base_0428256704981-103_72-90&288_399&454-406&453_115&384_99&285_390&354-0_7_23_27_24_30_10-75-52.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\2_Model_Conversion_PC_Simulation\yolov8_obb\model\obb_quant_dataset_800\quant_0024.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\labels\train\ccpd2019_ccpd_base_0428256704981-103_72-90&288_399&454-406&453_115&384_99&285_390&354-0_7_23_27_24_30_10-75-52.txt	1	55.328895	13.339290	3	5-15
25	0	blue	0	blue	ccpd2019	ccpd_base	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\CCPD2019\ccpd_base\0444444444445-106_77-266&451_536&613-522&628_263&539_273&446_532&535-0_0_16_25_24_33_33-156-50.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\images\train\ccpd2019_ccpd_base_0444444444445-106_77-266&451_536&613-522&628_263&539_273&446_532&535-0_0_16_25_24_33_33-156-50.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\2_Model_Conversion_PC_Simulation\yolov8_obb\model\obb_quant_dataset_800\quant_0025.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\labels\train\ccpd2019_ccpd_base_0444444444445-106_77-266&451_536&613-522&628_263&539_273&446_532&535-0_0_16_25_24_33_33-156-50.txt	1	51.605860	18.964204	3	15-30
26	0	blue	0	blue	ccpd2019	ccpd_base	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\CCPD2019\ccpd_base\0529238505747-107_76-204&290_496&474-504&485_206&397_196&293_494&381-0_0_2_30_28_24_2-144-109.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\images\train\ccpd2019_ccpd_base_0529238505747-107_76-204&290_496&474-504&485_206&397_196&293_494&381-0_0_2_30_28_24_2-144-109.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\2_Model_Conversion_PC_Simulation\yolov8_obb\model\obb_quant_dataset_800\quant_0026.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\labels\train\ccpd2019_ccpd_base_0529238505747-107_76-204&290_496&474-504&485_206&397_196&293_494&381-0_0_2_30_28_24_2-144-109.txt	1	57.643846	16.451958	3	15-30
27	0	blue	0	blue	ccpd2019	ccpd_blur	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\CCPD2019\ccpd_blur\0050-12_12-509&546_592&597-592&597_509&579_509&546_592&564-10_0_23_27_28_33_30-66-3.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\images\train\ccpd2019_ccpd_blur_0050-12_12-509&546_592&597-592&597_509&579_509&546_592&564-10_0_23_27_28_33_30-66-3.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\2_Model_Conversion_PC_Simulation\yolov8_obb\model\obb_quant_dataset_800\quant_0027.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\labels\train\ccpd2019_ccpd_blur_0050-12_12-509&546_592&597-592&597_509&579_509&546_592&564-10_0_23_27_28_33_30-66-3.txt	1	18.206720	12.235904	1	5-15
28	0	blue	0	blue	ccpd2019	ccpd_blur	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\CCPD2019\ccpd_blur\0053-0_2-321&511_429&552-429&552_323&552_321&511_427&511-0_0_0_7_33_29_33-90-2.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\images\train\ccpd2019_ccpd_blur_0053-0_2-321&511_429&552-429&552_323&552_321&511_427&511-0_0_0_7_33_29_33-90-2.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\2_Model_Conversion_PC_Simulation\yolov8_obb\model\obb_quant_dataset_800\quant_0028.jpg	D:\Yolo_LPR_RK3568_FPGA_Project\1_PC_Training\datasets\yolo_obb_640\labels\train\ccpd2019_ccpd_blur_0053-0_2-321&511_429&552-429&552_323&552_321&511_427&511-0_0_0_7_33_29_33-90-2.txt	1	22.647682	0.000000	1	0-5
